"subject_id","question_id","question_type","response","submission_id","timestamp","survey_id"
"NO_USER_ID","genID1","select","Agro","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","genID2","text","asa1","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","genID3","text","123sd","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","genID4","text","sddsd","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","genID5","text","sdsds","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","genID6","numeric","13118","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","genID7","select","0-10","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","dmaId1","mc","Agree","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","dmaId2","mc","Agree","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","dmaId3","mc","Strongly Agree","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","dmaId4","mc","Agree","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","dmaId5","mc","Agree","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","dmaId6","mc","Agree","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","dmaId7","mc","Strongly Agree","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","dmaId8","mc","Agree","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","dmaId9","mc","Agree","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","dmaId10","mc","Agree","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","dmaId11","mc","Agree","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","dmaId12","mc","Agree","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","dmaId13","mc","Agree","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","dmaId14","mc","Agree","submission_20240710164329",2024-07-10 16:43:29.611884,"Digital Maturity"
"NO_USER_ID","datamId1","mc","Strongly Agree","submission_20240710164343",2024-07-10 16:43:43.161255,"Data Maturity"
"NO_USER_ID","datamId2","mc","Agree","submission_20240710164343",2024-07-10 16:43:43.161255,"Data Maturity"
"NO_USER_ID","datamId3","mc","Strongly Agree","submission_20240710164343",2024-07-10 16:43:43.161255,"Data Maturity"
"NO_USER_ID","datamId4","mc","Agree","submission_20240710164343",2024-07-10 16:43:43.161255,"Data Maturity"
"NO_USER_ID","datamId5","mc","Strongly Agree","submission_20240710164343",2024-07-10 16:43:43.161255,"Data Maturity"
